work,character,position,relative_position,sentiment_score,smoothed_sentiment_score,sentiment_words_count
而已集,OVERALL,60,24.896265560165975,1.9696969696969695,3.7158806106174525,22
而已集,OVERALL,61,25.311203319502074,5.035087719298245,3.418261562998405,19
而已集,OVERALL,62,25.72614107883817,3.25,4.0209551656920075,32
而已集,OVERALL,63,26.141078838174277,3.7777777777777777,3.7291666666666665,27
而已集,OVERALL,64,26.556016597510375,4.159722222222222,3.9967105263157894,48
而已集,OVERALL,65,26.970954356846473,4.052631578947368,3.8152290448343087,19
而已集,OVERALL,66,27.385892116182575,3.2333333333333334,4.580170122275385,20
而已集,OVERALL,67,27.800829875518673,6.454545454545454,5.072727272727273,11
而已集,OVERALL,68,28.21576763485477,5.53030303030303,5.535179380006966,22
而已集,OVERALL,69,28.63070539419087,4.620689655172414,6.510648355475941,29
而已集,OVERALL,70,29.045643153526974,9.38095238095238,6.566203911031496,7
而已集,OVERALL,71,29.460580912863072,5.696969696969697,5.992640692640692,11
而已集,OVERALL,72,29.87551867219917,2.9,4.421212121212122,10
而已集,OVERALL,73,30.29045643153527,4.666666666666667,4.2215686274509805,12
而已集,OVERALL,74,30.70539419087137,5.098039215686275,4.699346405228758,17
而已集,OVERALL,75,31.12033195020747,4.333333333333333,3.8937908496732025,12
而已集,OVERALL,76,31.535269709543567,2.25,4.891414141414142,4
而已集,OVERALL,77,31.950207468879665,8.090909090909092,5.175364758698092,11
而已集,OVERALL,78,32.365145228215766,5.185185185185185,6.884624017957353,9
而已集,OVERALL,79,32.780082987551864,7.377777777777778,6.276543209876543,15
而已集,OVERALL,80,33.19502074688796,6.2666666666666675,6.537037037037038,10
而已集,OVERALL,81,33.60995850622407,5.966666666666667,5.451515151515152,20
而已集,OVERALL,82,34.024896265560166,4.121212121212121,4.6000000000000005,22
而已集,OVERALL,83,34.439834024896264,3.7121212121212124,4.796296296296297,22
而已集,OVERALL,84,34.85477178423236,6.555555555555555,5.422558922558923,15
而已集,OVERALL,85,35.26970954356847,6.0,5.533333333333334,17
而已集,OVERALL,86,35.684647302904565,4.044444444444444,4.519444444444445,15
而已集,OVERALL,87,36.09958506224066,3.513888888888889,4.482407407407408,24
而已集,OVERALL,88,36.51452282157676,5.888888888888889,4.903490028490029,9
而已集,OVERALL,89,36.92946058091287,5.3076923076923075,5.238366571699905,13
而已集,OVERALL,90,37.344398340248965,4.518518518518519,5.334227138148706,9
而已集,OVERALL,91,37.75933609958506,6.176470588235294,4.993567797489366,17
而已集,OVERALL,92,38.17427385892116,4.285714285714286,5.302209772798008,14
而已集,OVERALL,93,38.589211618257266,5.444444444444445,4.717460317460318,9
而已集,OVERALL,94,39.004149377593365,4.422222222222222,4.3090909090909095,15
而已集,OVERALL,95,39.41908713692946,3.060606060606061,3.571199171199171,11
而已集,OVERALL,96,39.83402489626556,3.230769230769231,3.0574425574425574,13
而已集,OVERALL,97,40.24896265560166,2.8809523809523805,4.415018315018314,14
而已集,OVERALL,98,40.66390041493776,7.133333333333333,5.623809523809523,10
而已集,OVERALL,99,41.078838174273855,6.857142857142857,6.596825396825397,7
而已集,OVERALL,100,41.49377593360996,5.8,5.5894179894179885,5
而已集,OVERALL,101,41.90871369294606,4.111111111111111,3.8453703703703703,9
而已集,OVERALL,102,42.32365145228216,1.625,3.9120370370370368,8
而已集,OVERALL,103,42.738589211618255,6.0,3.630555555555555,9
而已集,OVERALL,104,43.15352697095436,3.2666666666666666,3.755555555555555,10
而已集,OVERALL,105,43.56846473029046,2.0,4.1682539682539685,10
而已集,OVERALL,106,43.983402489626556,7.238095238095238,4.696649029982363,7
而已集,OVERALL,107,44.398340248962654,4.851851851851851,6.024426807760141,9
而已集,OVERALL,108,44.81327800829876,5.9833333333333325,5.846296296296296,20
而已集,OVERALL,109,45.22821576763486,6.703703703703703,5.333179012345679,9
而已集,OVERALL,110,45.643153526970956,3.3125,4.481591710758377,16
而已集,OVERALL,111,46.058091286307054,3.4285714285714284,3.6914682539682544,7
而已集,OVERALL,112,46.47302904564315,4.333333333333334,4.133968253968255,16
而已集,OVERALL,113,46.88796680497925,4.64,4.505514403292181,25
